stddev-hip,0.07,0.07007,0.00014,0.001998001998001998
perplexity-hip,0.15,0.15015,0.0003,0.001998001998001998
mrc-hip,0.15,0.15015,0.0003,0.001998001998001998
nlll-hip,0.17,0.17017,0.00034,0.001998001998001998
present-hip,0.18,0.18018,0.00036,0.001998001998001998
overlay-hip,0.19,0.19019,0.00038,0.001998001998001998
softmax-hip,0.23,0.23023,0.00046,0.001998001998001998
chemv-hip,0.26,0.26026,0.00052,0.001998001998001998
bezier-surface-hip,0.30,0.3003,0.0006,0.001998001998001998
asmooth-hip,0.36,0.36036,0.00072,0.001998001998001998
gaussian-hip,0.44,0.44044,0.00088,0.001998001998001998
compute-score-hip,0.44,0.44044,0.00088,0.001998001998001998
nw-hip,0.59,0.59059,0.00118,0.001998001998001998
swish-hip,0.62,0.62062,0.00124,0.001998001998001998
aidw-hip,0.73,0.73073,0.00146,0.001998001998001998
floydwarshall-hip,0.73,0.73073,0.00146,0.001998001998001998
hwt1d-hip,0.80,0.8008,0.0016,0.001998001998001998
bfs-hip,0.81,0.81081,0.00162,0.001998001998001998
jenkins-hash-hip,0.85,0.85085,0.0017,0.001998001998001998
mandelbrot-hip,0.94,0.94094,0.00188,0.001998001998001998
layout-hip,0.95,0.95095,0.0019,0.001998001998001998
hogbom-hip,0.99,0.99099,0.00198,0.001998001998001998
fsm-hip,1.06,1.0606,0.00212,0.001998001998001998
hausdorff-hip,1.14,1.1414,0.00228,0.001998001998001998
linearprobing-hip,1.14,1.1414,0.00228,0.001998001998001998
pool-hip,1.15,1.15115,0.0023,0.001998001998001998
bitonic-sort-hip,1.15,1.15115,0.0023,0.001998001998001998
histogram-hip,1.16,1.16116,0.00232,0.001998001998001998
stencil1d-hip,1.25,1.25125,0.0025,0.001998001998001998
svd3x3-hip,1.30,1.3013,0.0026,0.001998001998001998
adam-hip,1.34,1.34134,0.00268,0.001998001998001998
maxpool3d-hip,1.40,1.4014,0.0028,0.001998001998001998
overlap-hip,1.40,1.4014,0.0028,0.001998001998001998
scan2-hip,1.52,1.52152,0.00304,0.001998001998001998
sort-hip,1.52,1.52152,0.00304,0.001998001998001998
shuffle-hip,1.53,1.53153,0.00306,0.001998001998001998
haccmk-hip,1.55,1.55155,0.0031,0.001998001998001998
boxfilter-hip,1.56,1.56156,0.00312,0.001998001998001998
bilateral-hip,1.67,1.67167,0.00334,0.001998001998001998
colorwheel-hip,1.72,1.72172,0.00344,0.001998001998001998
lombscargle-hip,2.33,2.33233,0.00466,0.001998001998001998
mr-hip,2.53,2.53253,0.00506,0.001998001998001998
scan-hip,2.68,2.68268,0.00536,0.001998001998001998
murmurhash3-hip,3.23,3.23223,0.00646,0.001998001998001998
all-pairs-distance-hip,4.35,4.35235,0.0087,0.001998001998001998
ss-hip,4.45,4.45245,0.0089,0.001998001998001998
ifib4-hip,6.64,6.64264,0.01328,0.001998001998001998
sc-hip,9.36,9.36236,0.01872,0.001998001998001998
hybridsort-hip,17.38,17.38238,0.03476,0.001998001998001998
