stddev-hip,1.0,1.001,0.002,0.001998001998001998
perplexity-hip,1.0,1.001,0.002,0.001998001998001998
mrc-hip,1.0,1.001,0.002,0.001998001998001998
nlll-hip,1.0,1.001,0.002,0.001998001998001998
present-hip,1.0,1.001,0.002,0.001998001998001998
overlay-hip,1.0,1.001,0.002,0.001998001998001998
softmax-hip,1.0,1.001,0.002,0.001998001998001998
chemv-hip,1.0,1.001,0.002,0.001998001998001998
bezier-surface-hip,1.0,1.001,0.002,0.001998001998001998
asmooth-hip,1.0,1.001,0.002,0.001998001998001998
gaussian-hip,1.0,1.001,0.002,0.001998001998001998
compute-score-hip,1.0,1.001,0.002,0.001998001998001998
nw-hip,1.0,1.001,0.002,0.001998001998001998
swish-hip,1.0,1.001,0.002,0.001998001998001998
aidw-hip,1.0,1.001,0.002,0.001998001998001998
floydwarshall-hip,1.0,1.001,0.002,0.001998001998001998
hwt1d-hip,1.0,1.001,0.002,0.001998001998001998
bfs-hip,1.0,1.001,0.002,0.001998001998001998
jenkins-hash-hip,1.0,1.001,0.002,0.001998001998001998
mandelbrot-hip,1.0,1.001,0.002,0.001998001998001998
layout-hip,1.0,1.001,0.002,0.001998001998001998
hogbom-hip,1.0,1.001,0.002,0.001998001998001998
fsm-hip,1.0,1.001,0.002,0.001998001998001998
hausdorff-hip,1.0,1.001,0.002,0.001998001998001998
linearprobing-hip,1.0,1.001,0.002,0.001998001998001998
pool-hip,1.0,1.001,0.002,0.001998001998001998
bitonic-sort-hip,1.0,1.001,0.002,0.001998001998001998
histogram-hip,1.0,1.001,0.002,0.001998001998001998
stencil1d-hip,1.0,1.001,0.002,0.001998001998001998
svd3x3-hip,1.0,1.001,0.002,0.001998001998001998
adam-hip,1.0,1.001,0.002,0.001998001998001998
maxpool3d-hip,1.0,1.001,0.002,0.001998001998001998
overlap-hip,1.0,1.001,0.002,0.001998001998001998
scan2-hip,1.0,1.001,0.002,0.001998001998001998
sort-hip,1.0,1.001,0.002,0.001998001998001998
shuffle-hip,1.0,1.001,0.002,0.001998001998001998
haccmk-hip,1.0,1.001,0.002,0.001998001998001998
boxfilter-hip,1.0,1.001,0.002,0.001998001998001998
bilateral-hip,1.0,1.001,0.002,0.001998001998001998
colorwheel-hip,1.0,1.001,0.002,0.001998001998001998
lombscargle-hip,1.0,1.001,0.002,0.001998001998001998
mr-hip,1.0,1.001,0.002,0.001998001998001998
scan-hip,1.0,1.001,0.002,0.001998001998001998
murmurhash3-hip,1.0,1.001,0.002,0.001998001998001998
all-pairs-distance-hip,1.0,1.001,0.002,0.001998001998001998
ss-hip,1.0,1.001,0.002,0.001998001998001998
ifib4-hip,1.0,1.001,0.002,0.001998001998001998
sc-hip,1.0,1.001,0.002,0.001998001998001998
hybridsort-hip,1.0,1.001,0.002,0.001998001998001998
